Date,Price,Open,High,Low,Volume,Change(%)
04 Oct 2024,2773.05,2807.85,2834.7,2763.55,18536438,-1.45%
03 Oct 2024,2813.95,2873.15,2898.8,2804.15,18878647,-3.95%
01 Oct 2024,2929.65,2961.3,2975.9,2925.65,8215821,-0.80%
30 Sep 2024,2953.15,3038.8,3049.95,2948.8,13504407,-3.25%
27 Sep 2024,3052.35,2998,3066.95,2984,10298739,1.88%
26 Sep 2024,2995.9,2981.3,3008,2976.1,9409499,0.27%
25 Sep 2024,2987.9,2967.8,2993,2960.4,3534501,0.31%
24 Sep 2024,2978.75,2977,3001,2975.75,8568722,-0.27%
23 Sep 2024,2986.75,2982,3003,2977.9,4416157,0.50%
20 Sep 2024,2971.85,2948,2990,2942.75,15448660,1.11%
19 Sep 2024,2939.35,2932.5,2953,2911.1,8477951,0.43%
18 Sep 2024,2926.9,2940,2964,2921.1,4287357,-0.60%
17 Sep 2024,2944.6,2948,2954.95,2933.25,2967664,0.06%
16 Sep 2024,2942.7,2955.1,2961.8,2929.5,2740887,-0.09%
13 Sep 2024,2945.25,2952.8,2966.3,2939,4355664,-0.48%
12 Sep 2024,2959.6,2914,2972,2891.75,11174688,1.95%
11 Sep 2024,2903,2926.1,2937.5,2895.1,4880101,-0.69%
10 Sep 2024,2923.05,2921,2944.1,2915.15,5384130,-0.06%
09 Sep 2024,2924.9,2933,2939.85,2911.2,4505149,-0.16%
06 Sep 2024,2929.65,2985,2994,2923.25,9697114,-1.89%
05 Sep 2024,2985.95,3038.1,3051.55,2974.1,8132084,-1.42%
04 Sep 2024,3029.1,3001.4,3035,2999,5991652,0.36%
03 Sep 2024,3018.25,3042.5,3046,3015,5461900,-0.47%
02 Sep 2024,3032.5,3021.75,3053.6,3013.25,5620426,0.44%
30 Aug 2024,3019.25,3068,3079.45,3006.65,20810365,-0.74%
29 Aug 2024,3041.85,3006.2,3074,2988,19167679,1.51%
28 Aug 2024,2996.6,3010,3014.95,2986,4805143,-0.14%
27 Aug 2024,3000.9,3021,3026.95,2998.9,3125578,-0.80%
26 Aug 2024,3025.2,3013.95,3046,3006,4408057,0.84%
23 Aug 2024,2999.95,3007.5,3022.65,2996.85,4624827,0.12%
22 Aug 2024,2996.25,3006,3013,2981.3,5222891,-0.04%
21 Aug 2024,2997.35,2986.5,3015.75,2980,3884998,0.18%
20 Aug 2024,2991.9,2994.45,3007.85,2980.05,4205904,0.51%
19 Aug 2024,2976.8,2965,2996.6,2961,6898871,0.69%
16 Aug 2024,2956.4,2937.3,2960.8,2916.1,4708451,1.12%
14 Aug 2024,2923.7,2927.1,2944,2907.4,3133733,-0.12%
13 Aug 2024,2927.25,2921.5,2940.15,2916,3132532,0.21%
12 Aug 2024,2921.25,2940,2946,2915.5,4092292,-0.93%
09 Aug 2024,2948.6,2920,2953,2912,3124888,1.74%
08 Aug 2024,2898.25,2915.05,2930,2891.85,6193596,-1.07%
07 Aug 2024,2929.65,2938,2945,2923,4087284,0.60%
06 Aug 2024,2912.1,2910.3,2955,2902.65,5118093,0.60%
05 Aug 2024,2894.65,2960,2967.8,2866.5,8523352,-3.47%
02 Aug 2024,2998.65,3010,3018.65,2986.55,5134124,-1.05%
01 Aug 2024,3030.6,3024,3036,3008.6,5382111,0.66%
31 Jul 2024,3010.85,3008,3020.9,3002.3,5028673,-0.51%
30 Jul 2024,3026.3,3034.05,3050,3020,4114104,-0.46%
29 Jul 2024,3040.2,3023.9,3055,3023.55,3769275,0.73%
26 Jul 2024,3018.05,2984.8,3024.85,2980.7,4929970,1.11%
25 Jul 2024,2984.8,2962,3000.95,2954.15,6259938,-0.22%
24 Jul 2024,2991.4,2970,3019,2952.8,5956681,0.52%
23 Jul 2024,2975.8,3002,3011.5,2926,9026022,-0.85%
22 Jul 2024,3001.35,3074.5,3075,2998.55,9837188,-3.50%
19 Jul 2024,3110.3,3172,3179.95,3105.6,6570195,-1.99%
18 Jul 2024,3173.35,3152,3187.8,3115.65,6149187,0.66%
16 Jul 2024,3152.5,3187,3200,3138.25,4693419,-1.31%
15 Jul 2024,3194.45,3208.9,3211.7,3171,2664844,0.03%
12 Jul 2024,3193.45,3169,3210.3,3149,6462392,1.02%
11 Jul 2024,3161.3,3175,3208.5,3141,5970473,-0.23%
10 Jul 2024,3168.45,3190,3195,3126.3,3567289,-0.38%
09 Jul 2024,3180.55,3195.2,3201,3161,3480001,-0.66%
08 Jul 2024,3201.8,3178,3217.6,3165.05,4750403,0.77%
05 Jul 2024,3177.25,3107.65,3197,3096,6134855,2.23%
04 Jul 2024,3108.05,3114,3135,3101.6,3418588,0.10%
03 Jul 2024,3104.85,3132.65,3150,3085.55,4524810,-0.81%
02 Jul 2024,3130.35,3139,3147,3114,3874623,0.32%
01 Jul 2024,3120.3,3125.05,3158.8,3111.35,3862153,-0.34%
28 Jun 2024,3130.8,3062.05,3162,3062.05,14478668,2.28%
27 Jun 2024,3061.1,3027.5,3075,3012,14191515,1.09%
26 Jun 2024,3028.05,2892.1,3037.95,2890.25,11007441,4.12%
25 Jun 2024,2908.3,2886,2911.85,2882,3522693,0.88%
24 Jun 2024,2882.95,2891.05,2899,2875,4439193,-0.88%
21 Jun 2024,2908.4,2947.25,2949.4,2881.15,15585180,-1.32%
