
Date,Open,High,Low,Close,Volume
10/01/2024,"2,962.70","2,978.00","2,926.00","2,929.80","734,210"
09/30/2024,"3,036.00","3,044.30","2,950.00","2,953.80","425,373"
09/27/2024,"3,000.00","3,066.90","2,984.00","3,052.40","451,159"
09/26/2024,"2,984.95","3,008.00","2,976.10","3,000.70","151,526"
09/25/2024,"2,969.25","2,993.60","2,960.50","2,987.45","147,398"
09/24/2024,"2,979.95","3,000.00","2,976.40","2,979.25","231,805"
09/23/2024,"2,980.10","3,002.75","2,979.20","2,988.40","298,496"
09/20/2024,"2,949.00","2,991.15","2,943.55","2,973.10","1,703,033"
09/19/2024,"2,930.95","2,953.00","2,911.20","2,939.35","60,806"
09/18/2024,"2,940.00","2,964.00","2,922.00","2,926.25","197,345"
09/17/2024,"2,948.70","2,954.00","2,933.80","2,944.60","180,322"
09/16/2024,"2,957.50","2,961.60","2,930.00","2,942.90","41,420"
09/13/2024,"2,954.40","2,966.00","2,938.70","2,944.45","362,535"
09/12/2024,"2,918.75","2,971.00","2,892.30","2,958.40","344,917"
09/11/2024,"2,928.95","2,937.00","2,895.30","2,903.10","128,675"
09/10/2024,"2,924.80","2,943.95","2,916.00","2,923.00","217,523"
09/09/2024,"2,932.10","2,939.00","2,912.50","2,926.05","218,033"
09/06/2024,"2,989.90","2,996.20","2,922.75","2,929.85","1,020,042"
09/05/2024,"3,039.45","3,052.05","2,975.00","2,987.15","312,253"
09/04/2024,"2,995.90","3,034.00","2,995.90","3,029.80","201,285"
09/03/2024,"3,041.65","3,045.00","3,015.30","3,019.60","206,877"
09/02/2024,"3,031.65","3,053.35","3,012.80","3,032.80","300,104"
10/01/2024,"2,962.70","2,978.00","2,926.00","2,929.80","734,210"
09/30/2024,"3,036.00","3,044.30","2,950.00","2,953.80","425,373"
09/27/2024,"3,000.00","3,066.90","2,984.00","3,052.40","451,159"
09/26/2024,"2,984.95","3,008.00","2,976.10","3,000.70","151,526"
09/25/2024,"2,969.25","2,993.60","2,960.50","2,987.45","147,398"
09/24/2024,"2,979.95","3,000.00","2,976.40","2,979.25","231,805"
09/23/2024,"2,980.10","3,002.75","2,979.20","2,988.40","298,496"
09/20/2024,"2,949.00","2,991.15","2,943.55","2,973.10","1,703,033"
09/19/2024,"2,930.95","2,953.00","2,911.20","2,939.35","60,806"
09/18/2024,"2,940.00","2,964.00","2,922.00","2,926.25","197,345"
09/17/2024,"2,948.70","2,954.00","2,933.80","2,944.60","180,322"
09/16/2024,"2,957.50","2,961.60","2,930.00","2,942.90","41,420"
09/13/2024,"2,954.40","2,966.00","2,938.70","2,944.45","362,535"
09/12/2024,"2,918.75","2,971.00","2,892.30","2,958.40","344,917"
09/11/2024,"2,928.95","2,937.00","2,895.30","2,903.10","128,675"
09/10/2024,"2,924.80","2,943.95","2,916.00","2,923.00","217,523"
09/09/2024,"2,932.10","2,939.00","2,912.50","2,926.05","218,033"
09/06/2024,"2,989.90","2,996.20","2,922.75","2,929.85","1,020,042"
09/05/2024,"3,039.45","3,052.05","2,975.00","2,987.15","312,253"
09/04/2024,"2,995.90","3,034.00","2,995.90","3,029.80","201,285"
09/03/2024,"3,041.65","3,045.00","3,015.30","3,019.60","206,877"
09/02/2024,"3,031.65","3,053.35","3,012.80","3,032.80","300,104"
